Clave geoestadística,Entidad federativa,Nombre,Población de 0 a 2 años,Población de 3 a 5 años,Población de 6 a 11 años,Población de 8 a 14 años,0,Población de 0 a 14 años,Población de 15 a 17 años,Población total de 0 a 17 años,Población total de hombres de 0 a 17 años,Población total de mujeres de 0 a 17 años
17001,MoreloB12:D12,Amacuzac,812,1117,1805F12:J12,2096,942,4676,966,5642,2837,2805
17002,Morelos,Atlatlahucan,1177,1309,2656,3184,1431,6573,0,7894,3923,3971
17003,Morelos,Axochiapan,2234,2214,4514,5102,2132,11094,2102,13196,6766,6430
17004,Morelos,Ayala,4241,4704,9834,11511,4958,23737,4904,28641,14553,14088
17005,Morelos,Coatlán del Río,477,525,979,1136,503,2484,475,2959,1504,1455
17006,Morelos,Cuautla,7920,8902,17884,21221,9169,43875,9517,53392,27287,26105
17007,Morelos,Cuernavaca,13541,15707,30394,37340,16658,76300,17135,93435,47318,46117
17008,Morelos,Emiliano Zapata,4104,5188,11070,13136,5663,26025,5563,31588,16262,15326
17009,Morelos,Huitzilac,1118,1262,2562,3086,1359,6301,1261,7562,3769,3793
17010,Morelos,Jantetelco,813,1005,2045,2311,941,4804,957,5761,2956,2805
17011,Morelos,Jiutepec,8685,9633,19767,23513,10150,48235,10378,58613,29828,28785
17012,Morelos,Jojutla,2233,2644,5467,6378,2717,13061,2816,15877,8037,7840
17013,Morelos,Jonacatepec de Leandro Valle,774,858,1670,1913,805,4107,864,4971,2503,2468
17014,Morelos,Mazatepec,454,503,950,1099,465,2372,478,2850,1400,1450
17015,Morelos,Miacatlán,693,772,1635,2014,887,3987,851,4838,2493,2345
17016,Morelos,Ocuituco,953,1055,2208,2558,1084,5300,1100,6400,3246,3154
17017,Morelos,Puente de Ixtla,1842,2156,4022,4792,2096,10116,2117,12233,6125,6108
17018,Morelos,Temixco,4916,5992,12875,15383,6586,30369,6487,36856,18650,18206
17019,Morelos,Tepalcingo,1346,1418,2937,3402,1449,7150,1416,8566,4364,4202
17020,Morelos,Tepoztlán,2165,2706,5432,6461,2832,13135,2787,15922,8079,7843
17021,Morelos,Tetecala,322,396,746,809,341,1805,383,2188,1148,1040
17022,Morelos,Tetela del Volcán,781,870,1791,2160,941,4383,909,5292,2686,2606
17023,Morelos,Tlalnepantla,417,470,908,1132,493,2288,432,2720,1373,1347
17024,Morelos,Tlaltizapán de Zapata,2258,2544,5392,6197,2665,12859,2734,15593,8000,7593
17025,Morelos,Tlaquiltenango,1382,1539,3296,3839,1634,7851,1738,9589,4812,4777
17026,Morelos,Tlayacapan,907,1002,2022,2395,1000,4931,1033,5964,3075,2889
17027,Morelos,Totolapan,623,673,1468,1756,758,3522,724,4246,2119,2127
17028,Morelos,Xochitepec,3440,3711,7477,8729,3701,18329,3988,22317,11338,10979
17029,Morelos,Yautepec,4411,5134,10911,13111,5610,26066,5641,31707,16046,15661
17030,Morelos,Yecapixtla,2771,3021,6308,7333,3104,15204,3164,18368,9497,8871
17031,Morelos,Zacatepec,1392,1547,3205,3867,1684,7828,1831,9659,4958,4701
17032,Morelos,Zacualpan de Amilpas,449,478,994,1205,536,2457,529,2986,1526,1460
17033,Morelos,Temoac,824,881,1706,1960,846,4257,910,5167,2632,3535
17034,Morelos,Coatetelco,579,683,1372,1566,652,3286,628,3914,1931,1983
17035,Morelos,Xoxocotla,1308,1479,3109,3674,1601,7497,1595,9092,4525,4567
17036,Morelos,Hueyapan,447,463,941,1067,436,2287,458,2745,1374,1371